,user_no,상품명,star
360,122,데이지크 무드 글로우 립스틱 8종 택 1,5.0
361,847,데이지크 무드 글로우 립스틱 8종 택 1,5.0
362,185,데이지크 무드 글로우 립스틱 8종 택 1,3.0
363,1192,데이지크 무드 글로우 립스틱 8종 택 1,5.0
364,1831,데이지크 무드 글로우 립스틱 8종 택 1,5.0
365,697,데이지크 무드 글로우 립스틱 8종 택 1,4.0
366,697,데이지크 무드 글로우 립스틱 8종 택 1,4.0
367,1831,데이지크 무드 글로우 립스틱 8종 택 1,5.0
368,697,데이지크 무드 글로우 립스틱 8종 택 1,5.0
369,697,데이지크 무드 글로우 립스틱 8종 택 1,5.0
370,1281,데이지크 무드 글로우 립스틱 8종 택 1,5.0
371,1775,데이지크 무드 글로우 립스틱 8종 택 1,5.0
372,90,데이지크 무드 글로우 립스틱 8종 택 1,5.0
373,1652,데이지크 무드 글로우 립스틱 8종 택 1,5.0
374,1119,데이지크 무드 글로우 립스틱 8종 택 1,4.0
375,93,데이지크 무드 글로우 립스틱 8종 택 1,4.0
376,1039,데이지크 무드 글로우 립스틱 8종 택 1,3.0
377,364,데이지크 무드 글로우 립스틱 8종 택 1,4.0
378,749,데이지크 무드 글로우 립스틱 8종 택 1,5.0
379,33,데이지크 무드 글로우 립스틱 8종 택 1,5.0
380,508,데이지크 무드 글로우 립스틱 8종 택 1,5.0
381,93,데이지크 무드 글로우 립스틱 8종 택 1,5.0
382,675,데이지크 무드 글로우 립스틱 8종 택 1,5.0
383,35,데이지크 무드 글로우 립스틱 8종 택 1,5.0
384,172,데이지크 무드 글로우 립스틱 8종 택 1,5.0
385,943,데이지크 무드 글로우 립스틱 8종 택 1,5.0
386,184,데이지크 무드 글로우 립스틱 8종 택 1,4.0
387,1392,데이지크 무드 글로우 립스틱 8종 택 1,4.0
388,1394,데이지크 무드 글로우 립스틱 8종 택 1,5.0
389,1385,데이지크 무드 글로우 립스틱 8종 택 1,4.0
390,169,데이지크 무드 글로우 립스틱 8종 택 1,5.0
391,885,데이지크 무드 글로우 립스틱 8종 택 1,4.0
392,875,데이지크 무드 글로우 립스틱 8종 택 1,5.0
393,140,데이지크 무드 글로우 립스틱 8종 택 1,3.0
394,707,데이지크 무드 글로우 립스틱 8종 택 1,4.0
395,1005,데이지크 무드 글로우 립스틱 8종 택 1,5.0
396,1005,데이지크 무드 글로우 립스틱 8종 택 1,4.0
397,756,데이지크 무드 글로우 립스틱 8종 택 1,4.0
398,1039,데이지크 무드 글로우 립스틱 8종 택 1,4.0
399,284,데이지크 무드 글로우 립스틱 8종 택 1,4.0
400,870,데이지크 무드 글로우 립스틱 8종 택 1,5.0
401,1671,데이지크 무드 글로우 립스틱 8종 택 1,5.0
402,1396,데이지크 무드 글로우 립스틱 8종 택 1,5.0
403,141,데이지크 무드 글로우 립스틱 8종 택 1,5.0
404,1717,데이지크 무드 글로우 립스틱 8종 택 1,4.0
405,247,데이지크 무드 글로우 립스틱 8종 택 1,4.0
406,455,데이지크 무드 글로우 립스틱 8종 택 1,3.0
407,1112,데이지크 무드 글로우 립스틱 8종 택 1,5.0
408,1039,데이지크 무드 글로우 립스틱 8종 택 1,5.0
409,1039,데이지크 무드 글로우 립스틱 8종 택 1,5.0
410,1665,데이지크 무드 글로우 립스틱 8종 택 1,5.0
411,89,데이지크 무드 글로우 립스틱 8종 택 1,3.0
412,1385,데이지크 무드 글로우 립스틱 8종 택 1,5.0
413,1652,데이지크 무드 글로우 립스틱 8종 택 1,5.0
414,1385,데이지크 무드 글로우 립스틱 8종 택 1,5.0
415,885,데이지크 무드 글로우 립스틱 8종 택 1,5.0
416,1029,데이지크 무드 글로우 립스틱 8종 택 1,5.0
417,64,데이지크 무드 글로우 립스틱 8종 택 1,3.0
418,1039,데이지크 무드 글로우 립스틱 8종 택 1,5.0
419,1229,데이지크 무드 글로우 립스틱 8종 택 1,3.0
420,784,데이지크 무드 글로우 립스틱 8종 택 1,1.0
421,1111,데이지크 무드 글로우 립스틱 8종 택 1,1.0
422,236,데이지크 무드 글로우 립스틱 8종 택 1,4.0
423,236,데이지크 무드 글로우 립스틱 8종 택 1,4.0
424,236,데이지크 무드 글로우 립스틱 8종 택 1,4.0
425,1694,데이지크 무드 글로우 립스틱 8종 택 1,3.0
426,1807,데이지크 무드 글로우 립스틱 8종 택 1,5.0
427,1185,데이지크 무드 글로우 립스틱 8종 택 1,5.0
428,82,데이지크 무드 글로우 립스틱 8종 택 1,5.0
429,82,데이지크 무드 글로우 립스틱 8종 택 1,3.0
430,1420,데이지크 무드 글로우 립스틱 8종 택 1,5.0
431,134,데이지크 무드 글로우 립스틱 8종 택 1,5.0
432,284,데이지크 무드 글로우 립스틱 8종 택 1,4.0
433,284,데이지크 무드 글로우 립스틱 8종 택 1,4.0
